"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-03-26","Radar Triggered",275,"3",26,85,"Saturday","Friday or Saturday",0,"Other day","Black",84,NA,2005-03-26,"Radar Triggered"
"Black","2005-03-26","Violation Observed",366,"3",26,85,"Saturday","Friday or Saturday",0,"Other day","Black",84,NA,2005-03-26,"Violation Observed"
"Black","2005-03-27","Radar Triggered",59,"3",27,86,"Sunday","Another day",0,"Other day","Black",85,NA,2005-03-27,"Radar Triggered"
"Black","2005-03-27","Violation Observed",129,"3",27,86,"Sunday","Another day",0,"Other day","Black",85,NA,2005-03-27,"Violation Observed"
"Black","2005-03-28","Radar Triggered",112,"3",28,87,"Monday","Another day",0,"Other day","Black",86,NA,2005-03-28,"Radar Triggered"
"Black","2005-03-28","Violation Observed",161,"3",28,87,"Monday","Another day",0,"Other day","Black",86,NA,2005-03-28,"Violation Observed"
"Black","2005-03-29","Radar Triggered",88,"3",29,88,"Tuesday","Another day",0,"Other day","Black",87,NA,2005-03-29,"Radar Triggered"
"Black","2005-03-29","Violation Observed",187,"3",29,88,"Tuesday","Another day",0,"Other day","Black",87,NA,2005-03-29,"Violation Observed"
"Black","2005-03-30","Radar Triggered",137,"3",30,89,"Wednesday","Another day",0,"Other day","Black",88,NA,2005-03-30,"Radar Triggered"
"Black","2005-03-30","Violation Observed",266,"3",30,89,"Wednesday","Another day",0,"Other day","Black",88,NA,2005-03-30,"Violation Observed"
"Black","2005-03-31","Radar Triggered",76,"3",31,90,"Thursday","Another day",0,"Other day","Black",89,NA,2005-03-31,"Radar Triggered"
"Black","2005-03-31","Violation Observed",149,"3",31,90,"Thursday","Another day",0,"Other day","Black",89,NA,2005-03-31,"Violation Observed"
"Black","2005-04-01","Radar Triggered",106,"4",1,91,"Friday","Friday or Saturday",0,"Other day","Black",90,NA,2005-04-01,"Radar Triggered"
"Black","2005-04-01","Violation Observed",217,"4",1,91,"Friday","Friday or Saturday",0,"Other day","Black",90,NA,2005-04-01,"Violation Observed"
"Black","2005-04-02","Radar Triggered",150,"4",2,92,"Saturday","Friday or Saturday",0,"Other day","Black",91,NA,2005-04-02,"Radar Triggered"
"Black","2005-04-02","Violation Observed",216,"4",2,92,"Saturday","Friday or Saturday",0,"Other day","Black",91,NA,2005-04-02,"Violation Observed"
"Black","2005-04-03","Radar Triggered",175,"4",3,93,"Sunday","Another day",0,"Other day","Black",92,NA,2005-04-03,"Radar Triggered"
"Black","2005-04-03","Violation Observed",191,"4",3,93,"Sunday","Another day",0,"Other day","Black",92,NA,2005-04-03,"Violation Observed"
"Black","2005-04-04","Radar Triggered",170,"4",4,94,"Monday","Another day",0,"Other day","Black",93,NA,2005-04-04,"Radar Triggered"
"Black","2005-04-04","Violation Observed",279,"4",4,94,"Monday","Another day",0,"Other day","Black",93,NA,2005-04-04,"Violation Observed"
"Black","2005-04-05","Radar Triggered",116,"4",5,95,"Tuesday","Another day",0,"Other day","Black",94,NA,2005-04-05,"Radar Triggered"
"Black","2005-04-05","Violation Observed",228,"4",5,95,"Tuesday","Another day",0,"Other day","Black",94,NA,2005-04-05,"Violation Observed"
